venue_name,event_type,expected_attendance,temperature,humidity,rainfall,transport_delay_score,road_congestion_score,crowd_density_score,hospital_distance_km,police_station_distance_km,accessibility_score,social_media_risk_score,final_crisis_risk_score,risk_level,recommended_action
Suncorp Stadium,Tennis,7050,27.35,51.34,25.58,17,61,36,1.11,0.67,85,78,66.94,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Paralympic Event,79691,22.37,87.25,23.59,42,69,38,13.25,9.47,50,61,92.21,High,"Deploy additional transport, security, and medical support."
Victoria Park,Athletics,53280,32.87,38.57,12.05,92,62,53,9.31,5.37,49,97,109.79,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Athletics,32376,37.15,80.44,24.02,53,46,86,13.31,9.31,97,60,114.91,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Athletics,30425,31.92,43.46,24.47,12,88,72,13.48,8.67,50,55,101.89,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Swimming,70160,18.89,81.87,1.06,78,39,24,8.49,1.33,63,78,80.53,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Closing Ceremony,26754,32.47,62.27,2.43,59,47,76,13.47,9.92,89,39,103.31,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Closing Ceremony,7396,36.13,66.42,19.86,39,90,76,4.37,8.85,58,79,106.22,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Basketball,70082,21.21,53.37,7.16,52,41,99,9.47,7.65,46,4,84.96,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Cycling,79553,27.31,83.35,0.15,31,52,29,13.68,0.51,41,77,94.49,High,"Deploy additional transport, security, and medical support."
Victoria Park,Cycling,38062,21.86,39.63,9.79,16,94,97,9.69,5.63,74,69,91.21,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Tennis,34257,26.64,81.21,11.76,78,93,36,1.99,9.4,71,99,93.43,High,"Deploy additional transport, security, and medical support."
The Gabba,Basketball,55192,33.42,73.97,14.21,21,89,81,13.14,9.75,68,75,113.16,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Swimming,26427,33.17,36.35,0.66,5,78,31,11.67,6.99,65,97,91.26,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Athletics,19288,20.04,81.98,15.81,28,28,74,3.7,1.28,53,83,77.34,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Swimming,27042,35.36,87.98,0.94,92,20,46,6.59,6.57,45,18,96.61,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Cycling,10626,26.19,84.18,6.9,60,34,63,13.09,7.29,57,14,92.94,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Closing Ceremony,26563,21.71,82.77,23.3,78,26,45,8.19,0.67,68,63,84.15,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Cycling,10655,36.42,68.92,23.9,24,93,77,9.18,6.27,59,99,114.76,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Tennis,70455,27.83,38.53,17.46,1,87,71,5.0,4.82,47,20,75.98,High,"Deploy additional transport, security, and medical support."
The Gabba,Tennis,35015,25.91,88.61,21.66,10,44,88,12.97,7.91,47,10,91.24,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Swimming,51167,20.92,40.65,17.13,78,79,53,9.46,7.17,49,39,87.04,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Athletics,68483,19.45,64.38,26.48,29,32,76,1.64,4.27,41,37,66.51,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Athletics,55861,31.86,80.18,1.24,43,48,74,2.3,9.01,48,5,83.96,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Paralympic Event,31015,23.98,86.44,28.42,91,61,83,5.42,8.24,46,74,104.47,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Closing Ceremony,71435,29.95,78.11,14.43,40,59,13,1.68,1.07,62,11,65.73,Medium,Increase monitoring and prepare support teams.
Victoria Park,Opening Ceremony,84148,30.31,53.1,14.11,44,7,92,11.95,6.76,90,43,92.56,High,"Deploy additional transport, security, and medical support."
The Gabba,Tennis,21082,22.57,89.8,29.24,2,27,73,6.35,2.6,93,62,72.78,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Opening Ceremony,35027,21.48,87.84,12.48,23,19,36,5.52,4.02,59,59,66.63,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Athletics,9703,29.76,36.62,11.87,99,65,78,13.56,4.51,81,57,111.05,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Cycling,53364,27.32,80.98,7.07,25,7,99,13.68,2.21,83,13,89.9,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Athletics,38142,26.26,38.8,13.11,59,13,88,10.11,1.4,56,88,95.85,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Basketball,72649,35.16,35.5,17.65,75,55,35,14.56,4.81,50,9,97.71,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Tennis,81367,28.4,53.54,24.87,0,4,19,9.02,9.51,96,63,60.84,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Basketball,40946,32.73,71.51,14.24,43,55,27,13.03,5.8,98,60,92.35,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Athletics,71504,28.62,86.51,1.18,34,69,100,14.04,3.5,88,50,109.23,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Basketball,46235,37.73,88.08,0.15,97,88,49,14.61,6.01,95,42,122.05,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Paralympic Event,84141,20.79,36.65,9.24,79,49,7,14.56,1.39,47,28,76.69,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Tennis,42380,37.27,49.04,19.85,89,42,73,0.75,2.82,65,7,90.1,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Closing Ceremony,55138,36.62,72.92,20.3,18,30,79,12.49,6.84,80,89,106.82,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Basketball,74569,37.99,37.65,29.32,40,88,47,11.41,1.36,70,74,105.4,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Athletics,34165,36.51,59.1,27.04,12,22,82,13.1,4.07,93,70,99.73,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Cycling,8726,30.6,68.54,16.9,18,59,92,7.01,2.76,88,34,89.27,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Tennis,68449,29.74,44.26,19.28,65,45,8,6.01,8.7,87,65,74.14,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Basketball,36348,34.28,40.99,4.47,47,36,78,8.24,6.28,87,86,98.14,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Tennis,64889,32.31,63.67,24.67,79,46,14,4.03,9.31,54,67,85.22,High,"Deploy additional transport, security, and medical support."
Victoria Park,Cycling,42650,20.03,61.72,7.7,51,26,28,12.14,5.62,55,35,72.35,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Athletics,17289,23.45,57.75,3.66,74,6,94,12.96,8.1,70,70,98.94,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Closing Ceremony,53368,29.35,49.11,28.89,67,6,53,8.48,0.91,81,46,81.66,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Cycling,70429,34.38,83.63,6.84,8,14,9,3.03,3.93,81,71,66.85,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Closing Ceremony,39084,24.04,75.26,25.54,38,73,88,1.89,6.43,72,54,84.42,High,"Deploy additional transport, security, and medical support."
The Gabba,Cycling,69174,22.7,82.81,14.19,20,80,21,0.84,6.6,67,70,65.97,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Swimming,62993,23.14,69.76,1.75,24,1,63,2.48,7.1,42,41,64.6,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Cycling,36910,32.49,35.87,10.23,45,18,67,11.0,5.99,78,35,86.77,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Cycling,78379,21.84,52.79,6.8,40,67,12,8.03,1.14,44,43,69.27,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Closing Ceremony,19484,23.42,67.6,20.4,43,57,2,3.26,1.0,83,1,52.63,Low,Continue normal monitoring.
Brisbane Entertainment Centre,Opening Ceremony,14686,27.3,38.31,16.87,35,68,76,9.71,7.67,94,79,91.72,High,"Deploy additional transport, security, and medical support."
The Gabba,Tennis,73619,24.95,71.57,23.86,15,29,22,6.29,1.95,44,83,71.01,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Closing Ceremony,46323,22.87,71.94,2.79,21,81,71,11.45,1.71,55,75,95.26,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Basketball,24169,19.26,41.47,6.82,65,84,1,14.09,5.76,50,66,81.22,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Tennis,23073,30.01,63.36,27.58,42,14,85,8.72,4.21,51,48,92.45,High,"Deploy additional transport, security, and medical support."
The Gabba,Tennis,30169,30.56,72.09,15.97,77,5,66,11.96,3.39,48,14,95.38,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Swimming,11721,21.08,47.3,28.72,81,9,24,8.84,5.05,72,35,67.25,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Tennis,36552,30.13,77.06,5.25,2,98,40,12.47,6.83,73,7,85.27,High,"Deploy additional transport, security, and medical support."
Victoria Park,Athletics,22347,20.7,87.97,16.49,31,95,91,5.02,5.31,57,92,96.87,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Paralympic Event,83213,18.01,35.97,18.08,22,82,30,1.39,7.92,49,88,61.59,Medium,Increase monitoring and prepare support teams.
The Gabba,Tennis,54841,19.16,73.23,29.51,82,8,98,1.58,7.94,85,6,70.85,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Closing Ceremony,28291,30.36,69.83,6.87,100,51,92,9.55,5.51,78,49,111.43,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Cycling,37371,26.1,70.97,10.63,26,91,85,12.5,7.47,61,4,95.32,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Paralympic Event,75017,20.68,58.02,23.71,20,9,86,2.49,5.59,40,12,61.9,Medium,Increase monitoring and prepare support teams.
Victoria Park,Athletics,61532,21.98,38.55,1.28,80,98,59,9.87,5.24,94,25,86.76,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Basketball,30121,24.49,75.55,14.28,92,51,28,7.16,7.96,52,63,88.76,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Closing Ceremony,38160,36.86,79.49,2.29,96,9,57,4.17,7.92,67,74,101.61,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Athletics,33602,27.0,47.48,26.68,86,87,44,2.68,7.51,40,86,93.69,High,"Deploy additional transport, security, and medical support."
Victoria Park,Closing Ceremony,75476,18.76,76.04,19.77,50,23,98,0.68,9.59,60,57,75.44,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Tennis,53355,24.99,77.61,19.84,27,50,57,1.93,6.77,71,7,65.62,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Athletics,47533,19.65,63.31,26.97,7,24,72,6.04,2.45,88,35,61.59,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Basketball,31189,19.39,87.79,14.35,9,20,35,4.75,9.81,93,12,49.61,Low,Continue normal monitoring.
